,Tacgia,Link,Namsinh,Quote
0,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.
1,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31,"It is our choices, Harry, that show what we truly are, far more than our abilities."
2,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
3,Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,1775-12-16,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."
4,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."
5,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,Try not to become a man of success. Rather become a man of value.
6,André Gide,http://quotes.toscrape.com/author/Andre-Gide,1869-11-22,It is better to be hated for what you are than to be loved for what you are not.
7,Thomas A. Edison,http://quotes.toscrape.com/author/Thomas-A-Edison,1847-02-11,"I have not failed. I've just found 10,000 ways that won't work."
8,Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,1884-10-11,A woman is like a tea bag; you never know how strong it is until it's in hot water.
9,Steve Martin,http://quotes.toscrape.com/author/Steve-Martin,1945-08-14,"A day without sunshine is like, you know, night."
10,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
11,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
12,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,"If you can't explain it to a six year old, you don't understand it yourself."
13,Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,1945-02-06,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there."
14,Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,1904-03-02,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living."
15,Douglas Adams,http://quotes.toscrape.com/author/Douglas-Adams,1952-03-11,"I may not have gone where I intended to go, but I think I have ended up where I needed to be."
16,Elie Wiesel,http://quotes.toscrape.com/author/Elie-Wiesel,1928-09-30,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
17,Friedrich Nietzsche,http://quotes.toscrape.com/author/Friedrich-Nietzsche,1844-10-15,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
18,Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,1835-11-30,"Good friends, good books, and a sleepy conscience: this is the ideal life."
19,Allen Saunders,http://quotes.toscrape.com/author/Allen-Saunders,1899-04-24,Life is what happens to us while we are making other plans.
20,Pablo Neruda,http://quotes.toscrape.com/author/Pablo-Neruda,1904-07-12,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."
21,Ralph Waldo Emerson,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,1803-05-25,For every minute you are angry you lose sixty seconds of happiness.
22,Mother Teresa,http://quotes.toscrape.com/author/Mother-Teresa,1910-08-26,"If you judge people, you have no time to love them."
23,Garrison Keillor,http://quotes.toscrape.com/author/Garrison-Keillor,1942-08-07,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.
24,Jim Henson,http://quotes.toscrape.com/author/Jim-Henson,1936-09-24,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.
25,Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,1904-03-02,"Today you are You, that is truer than true. There is no one alive who is Youer than You."
26,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales."
27,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default."
28,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,Logic will get you from A to Z; imagination will get you everywhere.
29,Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,1945-02-06,"One good thing about music, when it hits you, you feel no pain."
30,Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,1904-03-02,"The more that you read, the more things you will know. The more that you learn, the more places you'll go."
31,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?"
32,Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,1945-02-06,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for."
33,Mother Teresa,http://quotes.toscrape.com/author/Mother-Teresa,1910-08-26,Not all of us can do great things. But we can do small things with great love.
34,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31,"To the well-organized mind, death is but the next great adventure."
35,Charles M. Schulz,http://quotes.toscrape.com/author/Charles-M-Schulz,1922-11-26,All you need is love. But a little chocolate now and then doesn't hurt.
36,William Nicholson,http://quotes.toscrape.com/author/William-Nicholson,1948-01-12,We read to know we're not alone.
37,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,Any fool can know. The point is to understand.
38,Jorge Luis Borges,http://quotes.toscrape.com/author/Jorge-Luis-Borges,1899-08-24,I have always imagined that Paradise will be a kind of library.
39,George Eliot,http://quotes.toscrape.com/author/George-Eliot,1819-11-22,It is never too late to be what you might have been.
40,George R.R. Martin,http://quotes.toscrape.com/author/George-R-R-Martin,1948-09-20,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
41,C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,1898-11-29,You can never get a cup of tea large enough or a book long enough to suit me.
42,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01,You believe lies so you eventually learn to trust no one but yourself.
43,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01,"If you can make a woman laugh, you can make her do anything."
44,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14,"Life is like riding a bicycle. To keep your balance, you must keep moving."
45,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.
